CLAVE_CASILLA,ID_ENTIDAD,ENTIDAD,ID_DISTRITO_FEDERAL,DISTRITO_FEDERAL,ID_DISTRITO_LOCAL,DISTRITO_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,ID_CASILLA,TIPO_CASILLA,EXT_CONTIGUA,LISTA_NOMINAL
'160149B0100',16,MICHOACÁN,1,LÁZARO CÁRDENAS,19,TACÁMBARO DE CODALLOS,9,ARIO,149,1,B,0,623
'160149C0100',16,MICHOACÁN,1,LÁZARO CÁRDENAS,19,TACÁMBARO DE CODALLOS,9,ARIO,149,1,C,0,622
'160150B0100',16,MICHOACÁN,1,LÁZARO CÁRDENAS,19,TACÁMBARO DE CODALLOS,9,ARIO,150,1,B,0,481
'160150C0100',16,MICHOACÁN,1,LÁZARO CÁRDENAS,19,TACÁMBARO DE CODALLOS,9,ARIO,150,1,C,0,481
'160151B0100',16,MICHOACÁN,1,LÁZARO CÁRDENAS,19,TACÁMBARO DE CODALLOS,9,ARIO,151,1,B,0,674
'160151C0100',16,MICHOACÁN,1,LÁZARO CÁRDENAS,19,TACÁMBARO DE CODALLOS,9,ARIO,151,1,C,0,674
'160151C0200',16,MICHOACÁN,1,LÁZARO CÁRDENAS,19,TACÁMBARO DE CODALLOS,9,ARIO,151,2,C,0,673
'160152B0100',16,MICHOACÁN,1,LÁZARO CÁRDENAS,19,TACÁMBARO DE CODALLOS,9,ARIO,152,1,B,0,684
'160153B0100',16,MICHOACÁN,1,LÁZARO CÁRDENAS,19,TACÁMBARO DE CODALLOS,9,ARIO,153,1,B,0,694
'160153C0100',16,MICHOACÁN,1,LÁZARO CÁRDENAS,19,TACÁMBARO DE CODALLOS,9,ARIO,153,1,C,0,693
'160153C0200',16,MICHOACÁN,1,LÁZARO CÁRDENAS,19,TACÁMBARO DE CODALLOS,9,ARIO,153,2,C,0,693
'160154B0100',16,MICHOACÁN,1,LÁZARO CÁRDENAS,19,TACÁMBARO DE CODALLOS,9,ARIO,154,1,B,0,681
'160154C0100',16,MICHOACÁN,1,LÁZARO CÁRDENAS,19,TACÁMBARO DE CODALLOS,9,ARIO,154,1,C,0,681
'160154C0200',16,MICHOACÁN,1,LÁZARO CÁRDENAS,19,TACÁMBARO DE CODALLOS,9,ARIO,154,2,C,0,680
'160154C0300',16,MICHOACÁN,1,LÁZARO CÁRDENAS,19,TACÁMBARO DE CODALLOS,9,ARIO,154,3,C,0,680
'160155B0100',16,MICHOACÁN,1,LÁZARO CÁRDENAS,19,TACÁMBARO DE CODALLOS,9,ARIO,155,1,B,0,601
'160155C0100',16,MICHOACÁN,1,LÁZARO CÁRDENAS,19,TACÁMBARO DE CODALLOS,9,ARIO,155,1,C,0,600
'160155C0200',16,MICHOACÁN,1,LÁZARO CÁRDENAS,19,TACÁMBARO DE CODALLOS,9,ARIO,155,2,C,0,600
'160156B0100',16,MICHOACÁN,1,LÁZARO CÁRDENAS,19,TACÁMBARO DE CODALLOS,9,ARIO,156,1,B,0,635
'160156C0100',16,MICHOACÁN,1,LÁZARO CÁRDENAS,19,TACÁMBARO DE CODALLOS,9,ARIO,156,1,C,0,634
'160156C0200',16,MICHOACÁN,1,LÁZARO CÁRDENAS,19,TACÁMBARO DE CODALLOS,9,ARIO,156,2,C,0,634
'160156C0300',16,MICHOACÁN,1,LÁZARO CÁRDENAS,19,TACÁMBARO DE CODALLOS,9,ARIO,156,3,C,0,634
'160156C0400',16,MICHOACÁN,1,LÁZARO CÁRDENAS,19,TACÁMBARO DE CODALLOS,9,ARIO,156,4,C,0,634
'160157B0100',16,MICHOACÁN,1,LÁZARO CÁRDENAS,19,TACÁMBARO DE CODALLOS,9,ARIO,157,1,B,0,623
'160157C0100',16,MICHOACÁN,1,LÁZARO CÁRDENAS,19,TACÁMBARO DE CODALLOS,9,ARIO,157,1,C,0,623
'160157E0100',16,MICHOACÁN,1,LÁZARO CÁRDENAS,19,TACÁMBARO DE CODALLOS,9,ARIO,157,1,E,0,417
'160158B0100',16,MICHOACÁN,1,LÁZARO CÁRDENAS,19,TACÁMBARO DE CODALLOS,9,ARIO,158,1,B,0,653
'160158C0100',16,MICHOACÁN,1,LÁZARO CÁRDENAS,19,TACÁMBARO DE CODALLOS,9,ARIO,158,1,C,0,652
'160159B0100',16,MICHOACÁN,1,LÁZARO CÁRDENAS,19,TACÁMBARO DE CODALLOS,9,ARIO,159,1,B,0,721
'160159C0100',16,MICHOACÁN,1,LÁZARO CÁRDENAS,19,TACÁMBARO DE CODALLOS,9,ARIO,159,1,C,0,721
'160159C0200',16,MICHOACÁN,1,LÁZARO CÁRDENAS,19,TACÁMBARO DE CODALLOS,9,ARIO,159,2,C,0,720
'160160B0100',16,MICHOACÁN,1,LÁZARO CÁRDENAS,19,TACÁMBARO DE CODALLOS,9,ARIO,160,1,B,0,613
'160160C0100',16,MICHOACÁN,1,LÁZARO CÁRDENAS,19,TACÁMBARO DE CODALLOS,9,ARIO,160,1,C,0,612
'160160C0200',16,MICHOACÁN,1,LÁZARO CÁRDENAS,19,TACÁMBARO DE CODALLOS,9,ARIO,160,2,C,0,612
'160161B0100',16,MICHOACÁN,1,LÁZARO CÁRDENAS,19,TACÁMBARO DE CODALLOS,9,ARIO,161,1,B,0,686
'160161C0100',16,MICHOACÁN,1,LÁZARO CÁRDENAS,19,TACÁMBARO DE CODALLOS,9,ARIO,161,1,C,0,685
'160161C0200',16,MICHOACÁN,1,LÁZARO CÁRDENAS,19,TACÁMBARO DE CODALLOS,9,ARIO,161,2,C,0,685
'160162B0100',16,MICHOACÁN,1,LÁZARO CÁRDENAS,19,TACÁMBARO DE CODALLOS,9,ARIO,162,1,B,0,387
'160163B0100',16,MICHOACÁN,1,LÁZARO CÁRDENAS,19,TACÁMBARO DE CODALLOS,9,ARIO,163,1,B,0,571
'160163C0100',16,MICHOACÁN,1,LÁZARO CÁRDENAS,19,TACÁMBARO DE CODALLOS,9,ARIO,163,1,C,0,570
'160164B0100',16,MICHOACÁN,1,LÁZARO CÁRDENAS,19,TACÁMBARO DE CODALLOS,9,ARIO,164,1,B,0,697
'160165B0100',16,MICHOACÁN,1,LÁZARO CÁRDENAS,19,TACÁMBARO DE CODALLOS,9,ARIO,165,1,B,0,390
'160165C0100',16,MICHOACÁN,1,LÁZARO CÁRDENAS,19,TACÁMBARO DE CODALLOS,9,ARIO,165,1,C,0,390
'160166B0100',16,MICHOACÁN,1,LÁZARO CÁRDENAS,19,TACÁMBARO DE CODALLOS,9,ARIO,166,1,B,0,637
'160166C0100',16,MICHOACÁN,1,LÁZARO CÁRDENAS,19,TACÁMBARO DE CODALLOS,9,ARIO,166,1,C,0,637
'160167B0100',16,MICHOACÁN,1,LÁZARO CÁRDENAS,19,TACÁMBARO DE CODALLOS,9,ARIO,167,1,B,0,374
'160168B0100',16,MICHOACÁN,1,LÁZARO CÁRDENAS,19,TACÁMBARO DE CODALLOS,9,ARIO,168,1,B,0,366
'160169B0100',16,MICHOACÁN,1,LÁZARO CÁRDENAS,19,TACÁMBARO DE CODALLOS,9,ARIO,169,1,B,0,333
'160170B0100',16,MICHOACÁN,1,LÁZARO CÁRDENAS,22,NUEVA ITALIA DE RUIZ,10,ARTEAGA,170,1,B,0,684
'160170C0100',16,MICHOACÁN,1,LÁZARO CÁRDENAS,22,NUEVA ITALIA DE RUIZ,10,ARTEAGA,170,1,C,0,684
'160170C0200',16,MICHOACÁN,1,LÁZARO CÁRDENAS,22,NUEVA ITALIA DE RUIZ,10,ARTEAGA,170,2,C,0,684
'160170C0300',16,MICHOACÁN,1,LÁZARO CÁRDENAS,22,NUEVA ITALIA DE RUIZ,10,ARTEAGA,170,3,C,0,683
'160171B0100',16,MICHOACÁN,1,LÁZARO CÁRDENAS,22,NUEVA ITALIA DE RUIZ,10,ARTEAGA,171,1,B,0,513
'160171C0100',16,MICHOACÁN,1,LÁZARO CÁRDENAS,22,NUEVA ITALIA DE RUIZ,10,ARTEAGA,171,1,C,0,513
'160171C0200',16,MICHOACÁN,1,LÁZARO CÁRDENAS,22,NUEVA ITALIA DE RUIZ,10,ARTEAGA,171,2,C,0,513
'160172B0100',16,MICHOACÁN,1,LÁZARO CÁRDENAS,22,NUEVA ITALIA DE RUIZ,10,ARTEAGA,172,1,B,0,548
'160172C0100',16,MICHOACÁN,1,LÁZARO CÁRDENAS,22,NUEVA ITALIA DE RUIZ,10,ARTEAGA,172,1,C,0,548
'160172C0200',16,MICHOACÁN,1,LÁZARO CÁRDENAS,22,NUEVA ITALIA DE RUIZ,10,ARTEAGA,172,2,C,0,547
'160173B0100',16,MICHOACÁN,1,LÁZARO CÁRDENAS,22,NUEVA ITALIA DE RUIZ,10,ARTEAGA,173,1,B,0,668
'160173C0100',16,MICHOACÁN,1,LÁZARO CÁRDENAS,22,NUEVA ITALIA DE RUIZ,10,ARTEAGA,173,1,C,0,667
'160173C0200',16,MICHOACÁN,1,LÁZARO CÁRDENAS,22,NUEVA ITALIA DE RUIZ,10,ARTEAGA,173,2,C,0,667
'160174B0100',16,MICHOACÁN,1,LÁZARO CÁRDENAS,22,NUEVA ITALIA DE RUIZ,10,ARTEAGA,174,1,B,0,534
'160174C0100',16,MICHOACÁN,1,LÁZARO CÁRDENAS,22,NUEVA ITALIA DE RUIZ,10,ARTEAGA,174,1,C,0,533
'160174C0200',16,MICHOACÁN,1,LÁZARO CÁRDENAS,22,NUEVA ITALIA DE RUIZ,10,ARTEAGA,174,2,C,0,533
'160175B0100',16,MICHOACÁN,1,LÁZARO CÁRDENAS,22,NUEVA ITALIA DE RUIZ,10,ARTEAGA,175,1,B,0,381
'160175E0100',16,MICHOACÁN,1,LÁZARO CÁRDENAS,22,NUEVA ITALIA DE RUIZ,10,ARTEAGA,175,1,E,0,162
'160176B0100',16,MICHOACÁN,1,LÁZARO CÁRDENAS,22,NUEVA ITALIA DE RUIZ,10,ARTEAGA,176,1,B,0,707
'160176C0100',16,MICHOACÁN,1,LÁZARO CÁRDENAS,22,NUEVA ITALIA DE RUIZ,10,ARTEAGA,176,1,C,0,706
'160176E0100',16,MICHOACÁN,1,LÁZARO CÁRDENAS,22,NUEVA ITALIA DE RUIZ,10,ARTEAGA,176,1,E,0,440
'160176E0200',16,MICHOACÁN,1,LÁZARO CÁRDENAS,22,NUEVA ITALIA DE RUIZ,10,ARTEAGA,176,2,E,0,164
'160177B0100',16,MICHOACÁN,1,LÁZARO CÁRDENAS,22,NUEVA ITALIA DE RUIZ,10,ARTEAGA,177,1,B,0,198
'160177E0100',16,MICHOACÁN,1,LÁZARO CÁRDENAS,22,NUEVA ITALIA DE RUIZ,10,ARTEAGA,177,1,E,0,107
'160177E0200',16,MICHOACÁN,1,LÁZARO CÁRDENAS,22,NUEVA ITALIA DE RUIZ,10,ARTEAGA,177,2,E,0,241
'160178B0100',16,MICHOACÁN,1,LÁZARO CÁRDENAS,22,NUEVA ITALIA DE RUIZ,10,ARTEAGA,178,1,B,0,686
'160179B0100',16,MICHOACÁN,1,LÁZARO CÁRDENAS,22,NUEVA ITALIA DE RUIZ,10,ARTEAGA,179,1,B,0,300
'160180B0100',16,MICHOACÁN,1,LÁZARO CÁRDENAS,22,NUEVA ITALIA DE RUIZ,10,ARTEAGA,180,1,B,0,308
'160180E0100',16,MICHOACÁN,1,LÁZARO CÁRDENAS,22,NUEVA ITALIA DE RUIZ,10,ARTEAGA,180,1,E,0,344
