CLAVE_CASILLA|ID_ENTIDAD|ENTIDAD|ID_DISTRITO_FEDERAL|DISTRITO_FEDERAL|ID_DISTRITO_LOCAL|DISTRITO_LOCAL|ID_MUNICIPIO|MUNICIPIO|SECCION|ID_CASILLA|TIPO_CASILLA|EXT_CONTIGUA|LISTA_NOMINAL
'160149B0100'|=16|MICHOACÁN|=001|LÁZARO CÁRDENAS|=019|TACÁMBARO DE CODALLOS|=009|ARIO|=0149|=01|B|=00|623
'160149C0100'|=16|MICHOACÁN|=001|LÁZARO CÁRDENAS|=019|TACÁMBARO DE CODALLOS|=009|ARIO|=0149|=01|C|=00|622
'160150B0100'|=16|MICHOACÁN|=001|LÁZARO CÁRDENAS|=019|TACÁMBARO DE CODALLOS|=009|ARIO|=0150|=01|B|=00|481
'160150C0100'|=16|MICHOACÁN|=001|LÁZARO CÁRDENAS|=019|TACÁMBARO DE CODALLOS|=009|ARIO|=0150|=01|C|=00|481
'160151B0100'|=16|MICHOACÁN|=001|LÁZARO CÁRDENAS|=019|TACÁMBARO DE CODALLOS|=009|ARIO|=0151|=01|B|=00|674
'160151C0100'|=16|MICHOACÁN|=001|LÁZARO CÁRDENAS|=019|TACÁMBARO DE CODALLOS|=009|ARIO|=0151|=01|C|=00|674
'160151C0200'|=16|MICHOACÁN|=001|LÁZARO CÁRDENAS|=019|TACÁMBARO DE CODALLOS|=009|ARIO|=0151|=02|C|=00|673
'160152B0100'|=16|MICHOACÁN|=001|LÁZARO CÁRDENAS|=019|TACÁMBARO DE CODALLOS|=009|ARIO|=0152|=01|B|=00|684
'160153B0100'|=16|MICHOACÁN|=001|LÁZARO CÁRDENAS|=019|TACÁMBARO DE CODALLOS|=009|ARIO|=0153|=01|B|=00|694
'160153C0100'|=16|MICHOACÁN|=001|LÁZARO CÁRDENAS|=019|TACÁMBARO DE CODALLOS|=009|ARIO|=0153|=01|C|=00|693
'160153C0200'|=16|MICHOACÁN|=001|LÁZARO CÁRDENAS|=019|TACÁMBARO DE CODALLOS|=009|ARIO|=0153|=02|C|=00|693
'160154B0100'|=16|MICHOACÁN|=001|LÁZARO CÁRDENAS|=019|TACÁMBARO DE CODALLOS|=009|ARIO|=0154|=01|B|=00|681
'160154C0100'|=16|MICHOACÁN|=001|LÁZARO CÁRDENAS|=019|TACÁMBARO DE CODALLOS|=009|ARIO|=0154|=01|C|=00|681
'160154C0200'|=16|MICHOACÁN|=001|LÁZARO CÁRDENAS|=019|TACÁMBARO DE CODALLOS|=009|ARIO|=0154|=02|C|=00|680
'160154C0300'|=16|MICHOACÁN|=001|LÁZARO CÁRDENAS|=019|TACÁMBARO DE CODALLOS|=009|ARIO|=0154|=03|C|=00|680
'160155B0100'|=16|MICHOACÁN|=001|LÁZARO CÁRDENAS|=019|TACÁMBARO DE CODALLOS|=009|ARIO|=0155|=01|B|=00|601
'160155C0100'|=16|MICHOACÁN|=001|LÁZARO CÁRDENAS|=019|TACÁMBARO DE CODALLOS|=009|ARIO|=0155|=01|C|=00|600
'160155C0200'|=16|MICHOACÁN|=001|LÁZARO CÁRDENAS|=019|TACÁMBARO DE CODALLOS|=009|ARIO|=0155|=02|C|=00|600
'160156B0100'|=16|MICHOACÁN|=001|LÁZARO CÁRDENAS|=019|TACÁMBARO DE CODALLOS|=009|ARIO|=0156|=01|B|=00|635
'160156C0100'|=16|MICHOACÁN|=001|LÁZARO CÁRDENAS|=019|TACÁMBARO DE CODALLOS|=009|ARIO|=0156|=01|C|=00|634
'160156C0200'|=16|MICHOACÁN|=001|LÁZARO CÁRDENAS|=019|TACÁMBARO DE CODALLOS|=009|ARIO|=0156|=02|C|=00|634
'160156C0300'|=16|MICHOACÁN|=001|LÁZARO CÁRDENAS|=019|TACÁMBARO DE CODALLOS|=009|ARIO|=0156|=03|C|=00|634
'160156C0400'|=16|MICHOACÁN|=001|LÁZARO CÁRDENAS|=019|TACÁMBARO DE CODALLOS|=009|ARIO|=0156|=04|C|=00|634
'160157B0100'|=16|MICHOACÁN|=001|LÁZARO CÁRDENAS|=019|TACÁMBARO DE CODALLOS|=009|ARIO|=0157|=01|B|=00|623
'160157C0100'|=16|MICHOACÁN|=001|LÁZARO CÁRDENAS|=019|TACÁMBARO DE CODALLOS|=009|ARIO|=0157|=01|C|=00|623
'160157E0100'|=16|MICHOACÁN|=001|LÁZARO CÁRDENAS|=019|TACÁMBARO DE CODALLOS|=009|ARIO|=0157|=01|E|=00|417
'160158B0100'|=16|MICHOACÁN|=001|LÁZARO CÁRDENAS|=019|TACÁMBARO DE CODALLOS|=009|ARIO|=0158|=01|B|=00|653
