CLAVE_CASILLA|CLAVE_ACTA|ID_ESTADO|NOMBRE_ESTADO|ID_DISTRITO|NOMBRE_DISTRITO|SECCION|ID_CASILLA|TIPO_CASILLA|EXT_CONTIGUA|CASILLA|NUM_ACTA_IMPRESO|PAN|PRI|PRD|PVEM|PT|MOVIMIENTO CIUDADANO|NUEVA ALIANZA|MORENA|ENCUENTRO SOCIAL|PAN_PRD_MC|PAN_PRD|PAN_MC|PRD_MC|PRI_PVEM_NA|PRI_PVEM|PRI_NA|PVEM_NA|PT_MORENA_PES|PT_MORENA|PT_PES|MORENA_PES|CAND_IND_01|CAND_IND_02|CNR|VN|TOTAL_VOTOS_CALCULADOS|LISTA_NOMINAL|OBSERVACIONES|MECANISMOS_TRASLADO|FECHA_HORA|MUNICIPIO
160170B0100'|160170B010006|16|MICHOACAN|1|LAZARO CARDENAS|170|1|B|0|Rural|6|29|76|60|10|2|3|49|165|3|1|2|0|0|0|0|0|0|3|0|0|0|0|0|1|38|442|656|Cotejo (Levantada en Casilla)|F-I|05/07/18 12:34:31.935000|ARTEAGA
160170B0100'|160170B010006|16|MICHOACAN|1|LAZARO CARDENAS|170|1|B|0|Rural|6|29|76|60|10|2|3|49|165|3|1|2|0|0|0|0|0|0|3|0|0|0|0|0|1|38|442|656|Cotejo (Levantada en Casilla)|F-I|05/07/18 12:34:31.935000|ARTEAGA
160170B0100'|160170B010006|16|MICHOACAN|1|LAZARO CARDENAS|170|1|B|0|Rural|6|29|76|60|10|2|3|49|165|3|1|2|0|0|0|0|0|0|3|0|0|0|0|0|1|38|442|656|Cotejo (Levantada en Casilla)|F-I|05/07/18 12:34:31.935000|ARTEAGA
160170B0100'|160170B010006|16|MICHOACAN|1|LAZARO CARDENAS|170|1|B|0|Rural|6|29|76|60|10|2|3|49|165|3|1|2|0|0|0|0|0|0|3|0|0|0|0|0|1|38|442|656|Cotejo (Levantada en Casilla)|F-I|05/07/18 12:34:31.935000|ARTEAGA
160170C0100'|160170C010006|16|MICHOACAN|1|LAZARO CARDENAS|170|1|C|0|Rural|6|25|67|79|6|7|6|61|126|3|0|1|0|0|0|0|0|0|1|0|0|0|0|0|0|36|418|656|Recuento (Para recuento (SRA))|F-I|05/07/18 13:13:55.289000|ARTEAGA
160170C0100'|160170C010006|16|MICHOACAN|1|LAZARO CARDENAS|170|1|C|0|Rural|6|25|67|79|6|7|6|61|126|3|0|1|0|0|0|0|0|0|1|0|0|0|0|0|0|36|418|656|Recuento (Para recuento (SRA))|F-I|05/07/18 13:13:55.289000|ARTEAGA
160170C0100'|160170C010006|16|MICHOACAN|1|LAZARO CARDENAS|170|1|C|0|Rural|6|25|67|79|6|7|6|61|126|3|0|1|0|0|0|0|0|0|1|0|0|0|0|0|0|36|418|656|Recuento (Para recuento (SRA))|F-I|05/07/18 13:13:55.289000|ARTEAGA
160170C0100'|160170C010006|16|MICHOACAN|1|LAZARO CARDENAS|170|1|C|0|Rural|6|25|67|79|6|7|6|61|126|3|0|1|0|0|0|0|0|0|1|0|0|0|0|0|0|36|418|656|Recuento (Para recuento (SRA))|F-I|05/07/18 13:13:55.289000|ARTEAGA
160170C0200'|160170C020006|16|MICHOACAN|1|LAZARO CARDENAS|170|2|C|0|Rural|6|22|44|62|11|5|2|60|167|11|0|1|0|0|0|0|0|0|1|0|0|0|0|0|0|25|411|656|Recuento (Para recuento (SRA))|F-I|05/07/18 13:12:41.096000|ARTEAGA
160170C0200'|160170C020006|16|MICHOACAN|1|LAZARO CARDENAS|170|2|C|0|Rural|6|22|44|62|11|5|2|60|167|11|0|1|0|0|0|0|0|0|1|0|0|0|0|0|0|25|411|656|Recuento (Para recuento (SRA))|F-I|05/07/18 13:12:41.096000|ARTEAGA
160170C0200'|160170C020006|16|MICHOACAN|1|LAZARO CARDENAS|170|2|C|0|Rural|6|22|44|62|11|5|2|60|167|11|0|1|0|0|0|0|0|0|1|0|0|0|0|0|0|25|411|656|Recuento (Para recuento (SRA))|F-I|05/07/18 13:12:41.096000|ARTEAGA
160170C0200'|160170C020006|16|MICHOACAN|1|LAZARO CARDENAS|170|2|C|0|Rural|6|22|44|62|11|5|2|60|167|11|0|1|0|0|0|0|0|0|1|0|0|0|0|0|0|25|411|656|Recuento (Para recuento (SRA))|F-I|05/07/18 13:12:41.096000|ARTEAGA
160170C0300'|160170C030006|16|MICHOACAN|1|LAZARO CARDENAS|170|3|C|0|Rural|6|21|52|53|6|10|15|47|183|3|0|0|2|0|0|0|0|0|3|2|0|0|0|0|0|30|427|655|Recuento (Para recuento (SRA))|F-I|05/07/18 13:15:15.773000|ARTEAGA
160170C0300'|160170C030006|16|MICHOACAN|1|LAZARO CARDENAS|170|3|C|0|Rural|6|21|52|53|6|10|15|47|183|3|0|0|2|0|0|0|0|0|3|2|0|0|0|0|0|30|427|655|Recuento (Para recuento (SRA))|F-I|05/07/18 13:15:15.773000|ARTEAGA
160170C0300'|160170C030006|16|MICHOACAN|1|LAZARO CARDENAS|170|3|C|0|Rural|6|21|52|53|6|10|15|47|183|3|0|0|2|0|0|0|0|0|3|2|0|0|0|0|0|30|427|655|Recuento (Para recuento (SRA))|F-I|05/07/18 13:15:15.773000|ARTEAGA
160170C0300'|160170C030006|16|MICHOACAN|1|LAZARO CARDENAS|170|3|C|0|Rural|6|21|52|53|6|10|15|47|183|3|0|0|2|0|0|0|0|0|3|2|0|0|0|0|0|30|427|655|Recuento (Para recuento (SRA))|F-I|05/07/18 13:15:15.773000|ARTEAGA
160171B0100'|160171B010006|16|MICHOACAN|1|LAZARO CARDENAS|171|1|B|0|Urbana|6|23|50|53|7|10|3|36|157|4|1|1|0|0|0|0|0|0|1|1|0|2|0|0|0|27|376|531|Recuento (Para recuento (SRA))|F-I|05/07/18 15:35:54.644000|ARTEAGA
160171B0100'|160171B010006|16|MICHOACAN|1|LAZARO CARDENAS|171|1|B|0|Urbana|6|23|50|53|7|10|3|36|157|4|1|1|0|0|0|0|0|0|1|1|0|2|0|0|0|27|376|531|Recuento (Para recuento (SRA))|F-I|05/07/18 15:35:54.644000|ARTEAGA
