CLAVE_CASILLA|CLAVE_ACTA|ID_ESTADO|NOMBRE_ESTADO|ID_DISTRITO|NOMBRE_DISTRITO|SECCION|ID_CASILLA|TIPO_CASILLA|EXT_CONTIGUA|CASILLA|NUM_ACTA_IMPRESO|PAN|PRI|PRD|PVEM|PT|MC|MORENA|PES|RSP|FXM|CI|PAN-PRI-PRD|PAN-PRI|PAN-PRD|PRI-PRD|PVEM-PT-MORENA|PVEM-PT|PVEM-MORENA|PT-MORENA|CANDIDATO/A NO REGISTRADO/A|VOTOS NULOS|TOTAL_VOTOS_CALCULADOS|LISTA_NOMINAL|OBSERVACIONES|MECANISMOS_TRASLADO|FECHA_HORA|MUNICIPIO
160000P0100'|160000P0100200029|16|MICHOACï¿½N|1|LAZARO CARDENAS|0|1|P|0|Urbana|2|0|2|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3|4|Cotejo (Levantada en Casilla)|-0|09/06/2021 14:06:05|
160170B0100'|160170B010097659|16|MICHOACï¿½N|1|LAZARO CARDENAS|170|1|B|0|No urbana|2|24|80|27|8|14|3|195|2|3|0|0|0|4|0|1|0|0|0|0|0|2|363|661|Recuento (Para recuento (SRA))|F-I|09/06/2021 13:06:03|ARTEAGA
160170B0100'|160170B010097659|16|MICHOACï¿½N|1|LAZARO CARDENAS|170|1|B|0|No urbana|2|24|80|27|8|14|3|195|2|3|0|0|0|4|0|1|0|0|0|0|0|2|363|661|Recuento (Para recuento (SRA))|F-I|09/06/2021 13:06:03|ARTEAGA
160170B0100'|160170B010097659|16|MICHOACï¿½N|1|LAZARO CARDENAS|170|1|B|0|No urbana|2|24|80|27|8|14|3|195|2|3|0|0|0|4|0|1|0|0|0|0|0|2|363|661|Recuento (Para recuento (SRA))|F-I|09/06/2021 13:06:03|ARTEAGA
160170B0100'|160170B010097659|16|MICHOACï¿½N|1|LAZARO CARDENAS|170|1|B|0|No urbana|2|24|80|27|8|14|3|195|2|3|0|0|0|4|0|1|0|0|0|0|0|2|363|661|Recuento (Para recuento (SRA))|F-I|09/06/2021 13:06:03|ARTEAGA
160170C0200'|160170C020095554|16|MICHOACï¿½N|1|LAZARO CARDENAS|170|2|C|0|No urbana|2|23|78|22|6|18|3|165|4|5|2|0|0|1|0|0|0|0|0|0|0|17|344|661|Recuento (Para recuento (SRA))|F-I|10/06/2021 05:06:07|ARTEAGA
160170C0200'|160170C020095554|16|MICHOACï¿½N|1|LAZARO CARDENAS|170|2|C|0|No urbana|2|23|78|22|6|18|3|165|4|5|2|0|0|1|0|0|0|0|0|0|0|17|344|661|Recuento (Para recuento (SRA))|F-I|10/06/2021 05:06:07|ARTEAGA
160170C0200'|160170C020095554|16|MICHOACï¿½N|1|LAZARO CARDENAS|170|2|C|0|No urbana|2|23|78|22|6|18|3|165|4|5|2|0|0|1|0|0|0|0|0|0|0|17|344|661|Recuento (Para recuento (SRA))|F-I|10/06/2021 05:06:07|ARTEAGA
160170C0200'|160170C020095554|16|MICHOACï¿½N|1|LAZARO CARDENAS|170|2|C|0|No urbana|2|23|78|22|6|18|3|165|4|5|2|0|0|1|0|0|0|0|0|0|0|17|344|661|Recuento (Para recuento (SRA))|F-I|10/06/2021 05:06:07|ARTEAGA
160170C0300'|160170C030095555|16|MICHOACï¿½N|1|LAZARO CARDENAS|170|3|C|0|No urbana|2|17|73|25|3|26|3|181|2|5|1|0|0|3|0|0|0|0|0|0|0|22|361|660|Recuento (Para recuento (SRA))|F-I|10/06/2021 04:06:50|ARTEAGA
