"CLAVE_CASILLA"|"CLAVE_ACTA"|"ID_ESTADO"|"NOMBRE_ESTADO"|"ID_DISTRITO"|"NOMBRE_DISTRITO"|"SECCION"|"ID_CASILLA"|"TIPO_CASILLA"|"EXT_CONTIGUA"|"CASILLA"|"TIPO_ACTA"|"PAN"|"PRI"|"PRD"|"PVEM"|"PT"|"MC"|"MORENA"|"CANDIDATO_A_INDEPENDIENTE"|"PAN_PRI_PRD"|"PAN_PRI"|"PAN_PRD"|"PRI_PRD"|"PVEM_PT_MORENA"|"PVEM_PT"|"PVEM_MORENA"|"PT_MORENA"|"CANDIDATO/A NO REGISTRADO/A"|"VOTOS NULOS"|"TOTAL_VOTOS_CALCULADOS"|"LISTA_NOMINAL"|"OBSERVACIONES"|"MECANISMOS_TRASLADO"|"FECHA_HORA"
"160149B0100'"|"160149B01004'"|"16"|"MICHOACAN"|"001"|"LAZARO CARDENAS"|"0149"|"01"|"B"|"00"|"Urbana"|4|101|24|11|74|7|98|65|-0|7|2|0|0|-0|-0|-0|-0|4|34|427|623|"Recuento (Para recuento-SRA)"|"F-I"|"06/06/2024 10:08:40"
"160149C0100'"|"160149C01004'"|"16"|"MICHOACAN"|"001"|"LAZARO CARDENAS"|"0149"|"01"|"C"|"00"|"Urbana"|4|94|24|9|61|17|121|90|-0|1|2|0|0|-0|-0|-0|-0|1|34|454|622|"Recuento (Para recuento-SRA)"|"F-I"|"06/06/2024 10:11:59"
"160150B0100'"|"160150B01004'"|"16"|"MICHOACAN"|"001"|"LAZARO CARDENAS"|"0150"|"01"|"B"|"00"|"No Urbana"|4|102|18|5|47|4|64|48|-0|2|8|0|0|-0|-0|-0|-0|0|25|323|481|"Recuento (Para recuento-SRA)"|"F-I"|"06/06/2024 10:13:22"
"160150C0100'"|"160150C01004'"|"16"|"MICHOACAN"|"001"|"LAZARO CARDENAS"|"0150"|"01"|"C"|"00"|"No Urbana"|4|79|24|13|47|12|74|36|-0|2|4|0|0|-0|-0|-0|-0|0|33|324|481|"Recuento (Para recuento-SRA)"|"F-I"|"06/06/2024 10:15:30"
"160151B0100'"|"160151B01004'"|"16"|"MICHOACAN"|"001"|"LAZARO CARDENAS"|"0151"|"01"|"B"|"00"|"Urbana"|4|110|43|4|84|15|105|63|-0|8|1|0|0|-0|-0|-0|-0|0|21|454|674|"Recuento (Para recuento-SRA)"|"F-I"|"06/06/2024 10:17:28"
"160151C0100'"|"160151C01004'"|"16"|"MICHOACAN"|"001"|"LAZARO CARDENAS"|"0151"|"01"|"C"|"00"|"Urbana"|4|86|39|9|67|11|94|74|-0|7|3|0|0|-0|-0|-0|-0|0|35|425|674|"Recuento (Para recuento-SRA)"|"F-I"|"06/06/2024 10:18:43"
"160151C0200'"|"160151C02004'"|"16"|"MICHOACAN"|"001"|"LAZARO CARDENAS"|"0151"|"02"|"C"|"00"|"Urbana"|4|90|31|17|62|10|92|57|-0|7|3|2|0|-0|-0|-0|-0|1|27|399|673|"Cotejo (Levantada en Casilla)"|"F-I"|"06/06/2024 08:43:25"
"160152B0100'"|"160152B01004'"|"16"|"MICHOACAN"|"001"|"LAZARO CARDENAS"|"0152"|"01"|"B"|"00"|"Urbana"|4|128|43|9|77|12|88|80|-0|6|5|0|0|-0|-0|-0|-0|0|29|477|684|"Cotejo (Levantada en Casilla)"|"F-I"|"06/06/2024 08:53:20"
"160153B0100'"|"160153B01004'"|"16"|"MICHOACAN"|"001"|"LAZARO CARDENAS"|"0153"|"01"|"B"|"00"|"No Urbana"|4|95|37|6|45|13|88|84|-0|4|9|0|0|-0|-0|-0|-0|0|38|419|694|"Recuento (Para recuento-SRA)"|"F-I"|"06/06/2024 10:21:00"
"160153C0100'"|"160153C01004'"|"16"|"MICHOACAN"|"001"|"LAZARO CARDENAS"|"0153"|"01"|"C"|"00"|"No Urbana"|4|97|20|6|72|10|89|69|-0|3|7|1|0|-0|-0|-0|-0|0|32|406|693|"Recuento (Para recuento-SRA)"|"F-I"|"06/06/2024 10:22:55"
"160153C0200'"|"160153C02004'"|"16"|"MICHOACAN"|"001"|"LAZARO CARDENAS"|"0153"|"02"|"C"|"00"|"No Urbana"|4|109|25|4|45|15|101|69|-0|4|5|1|0|-0|-0|-0|-0|0|0|378|693|"Recuento (Para recuento-SRA)"|"F-I"|"06/06/2024 10:27:39"
